SITE_CURRENCY,$
CHECK_THE_WALLET,cÅzdan kontrol
PROFESSIONAL_SERVICES,Profesyonel hizmetler
ACTION_TYPE,Eylem TÅrÅ
MY_BONUS,Benim Bonus
FAST_AND_CONVENIENT,h?zl? ve kullan??l?
OPENING_TIME,aá?l?? zaman?
CURRENCY_LIST,Para listesi
COMMISSIONED_BY_TIME,zaman
REWARD_CURRENCY,ôdÅl para
DONGYUEBIGU,Dongyuebigu
CURRENCY_INTEREST,Dîviz Faiz
FREE_REGISTRATION,Kaydol
CODE_UPGRADES,Kod yÅkseltmeleri
VERIFY_PHONE,telefonu do?rula
HOME_SHOW,Ev gîsterisi
MARKET_MARKET,Market
LINK_TITLE,Ba?lant? Ba?l???
LINK_ADDRESS,ba?lant? adresi
LINK_NAME,Ba?lant? Ad?
RESET_PASSWORD,Parola s?f?rlama
OUT_RECORD,Äekme
INTO_GIFT,hediye iáine
PURCHASE_HISTORY,Sat?n al?m geámi?i
ICO_LIMIT,ICO s?n?r?
NUMBER_OF_ICO,ICO Say?s?
THE_TOTAL_AMOUNT_OF_SUBSCRIPTI,Toplam Arz
ICO_LIST,ICO listesi
ICO_PRICE,ICO Fiyat
APPLE_COMPUTER,Apple bilgisayar
CONTACT_ADDRESS,?leti?im Adresi
BOUND_PHONE,seyyar
MY_LOG,Benim Kay?tlar
SYSTEM_RELIABILITY,Sistem gÅvenilirli?i
PENDING,Bekliyor
SUBSCRIBE_NOW,?imdi abone
PROHIBIT_TRANSFER,transferini yasakla
BANKING_CENTERS,Bankac?l?k Merkezleri
CURRENT_MODE,GÅncel mod
REGISTER_ACCOUNT,Kaydol
NORMAL_TRANSFER,Normal transferi
THE_NEW_CURRENCY_VOTE,Oy
TIP_LOGO,?pucu logosu
TIP_POSITION,?pucu pozisyon
MY_PROPERTY,Benim dengeler
DIVIDEND_START,TemettÅ ba?lang?á
OPEN_TRADING,Aá?k ticaret
THE_BOTTOM_OF_THE_DISPLAY,Ekran?n alt
SUBSCRIBED,Verili?:
MILLET_BRACELET,Dar? bileklik
HOUR_ONLINE,Saat Online
OFFICIAL_ANNOUNCEMENT,duyuru
DELEGATED_ADMINISTRATION,Emirler
HUAWEI_CELL_PHONE,Huawei cep telefonu
AMOUNT_ARRIVAL,Tutar geli?
DIVIDEND_CURRENCY,TemettÅ para
DIVIDEND_NAME,TemettÅ Ad?
RECHARGE_TIME,?arj sÅresi
CHANGE_PASSWORD,?ifre de?i?tir
COMMISSION_AMOUNT,Komisyon Tutar?
COMMISSION_RATE,komisyon oran?
RISK_WARNING,#VALUE!
DOWNLOAD_WALLET,?ndir cÅzdan
INVITE_FRIENDS,Ortakl?k Program?
TRANSFER_TIME,Transfer zaman?
THE_NUMBER_OF_TRANSFER,transferi say?s?
INTO_SUCCESS,mevduat ba?ar?s?
TYPES_OF_FEE,Åcretin tÅrleri
VOLUME_COST,Cilt Maliyeti
ACCOUNT_PREVIEW,hesap
PREPAID_RECHARGE,Pe?in îdenen ?arj?
ICO_TIME,ICO zaman?
THAW_INTERVAL,áîzÅlme aral?k
FORM_SUBMISSION,Form gînderme
TYPE_TITLE,TÅr Ba?l?k
ADD_IT_NOW,?imdi ekle
BACKUP_NOW,?imdi yedekle
RECHARGE_IMMEDIATELY,?arj ?imdi
CONFIRM_ARRIVAL,Onayla geli?
LOG_IN_LOG,KÅtÅkler
USERNAME,Kullan?c? ad?
THE_TOTAL_AMOUNT_OF_FINANCING,finansman tutar?
CLICK_SWITCH,t?klay?n Anahtar?
SOURCE_DOWNLOAD,Kaynak indir
CURRENCY_INTEREST_RATE_RISE,Dîviz faiz yÅkseli?i
PRINCIPAL_CURRENCY,anapara kur
UPDATED,gÅncellenmi?
REPLACEMENT_BINDINGS,GÅncelleme Mobil Numara
ARTICLE_TYPE,Madde Tipi
ARTICLE_TITLE,Makale ba?l???
OPERATING_AMOUNT,??letim Tutar
TEXT_TIPS,Metin ?puálar?
WITHDRAW_TIME,Zaman geri áek
PROMOTION_OF_PEOPLE,insanlar?n Promosyon
PROMOTION_LIST,Promosyon listesi
FOR_ANOTHER_ONE,Ba?ka biri iáin?
MY_ICO,Benim ICO
MY_RECOMMENDATION,benim referans?m
MY_PROMOTION,Benim promosyon
MY_REWARD,Benim îdÅl
TRANSACTION_QUERY,i?lem
TRANSACTION_TIME,??lem sÅresi
THE_NUMBER_OF_TRANSACTIONS,i?lem say?s?
ACCOUNT_BRANCH,Hesap ?ube
AD_IMAGE,Reklam Resim
ANNUALIZED_INTEREST_RATES,Y?ll?k faiz oranlar?
HELP,Yard?m
IT_HAS_BEEN_PROCESSED,Bu i?lendikten
FINANCING_AMOUNT_HAS_BEEN,Finansman miktar? olmu?tur
EXPORT_SELECTED,D??a Aktarma Seáildi
THE_ACTUAL_ARRIVAL,Gînderilen Miktar
RECURRENCE_PATTERN,Tekrarlama paterni
THE_NUMBER_OF_COMMISSIONED,Uygulanabilir Åcret
IF_SUPPORT,destek olursa
INCENTIVE_PAYMENTS,Te?vik îdemeleri
BONUS_SYSTEM,Bonus sistemi
BONUS_TIME,Bonus zaman?
BONUS,Bonus
REWARD_NAME,ôdÅl ad?
PROCESSING_TIME,??lem sÅresi
BASIC_CONFIGURATION,temel yap?land?rma
LINKS,Ba?lant?lar
DIVIDEND_RECORD,TemettÅ Tutanak
ON_BEHALF_OF_THE_RECOMMENDED,ônerilen ad?na
QUOTES_TODAY,Al?nt?lar BugÅn
TRANSACTION_TYPE,i?lem tipi
CURRENCY_TRADING,Dîviz Ticareti
TRADING_CENTER,ticari
BUY_NUMBER,AL numaras?
LAST_THAW,Son áîzÅlme
MARKET_PRICE,Market fiyat?
LOCK_SCREEN_BREAK,Kilit ekran? molas?
WALLET_VERSION,CÅzdan sÅrÅmÅ
WALLET_LOGO,CÅzdan logosu
WALLET_TAG,CÅzdan etiketi
WALLET_DETAILS,CÅzdan Detaylar?
THE_TOTAL_WALLET,toplam cÅzdan
WALLET_NAME,CÅzdan ad?
WALLET_INFORMATION,CÅzdan bilgisi
WALLET_BALANCE,CÅzdan Bakiyesi
AMOUNT_LIST,Tutar listesi
BY_CERTIFICATION,belgelendirme gîre
CHOOSE_BANK,banka seá
CHOOSE_A_CURRENCY,Bir para birimi seáin
ENTER_PASSWORD,Parolan? Gir
OUT_DESCRIPTION,Ä?kan Aá?klama
AUTOMATIC_ROLLOUT,Otomatik Äekilme
OUT_OF_STATE,Devletin Out
OUT_OF_THE_NUMBER_OF,miktar
TRANSFER_INSTRUCTIONS,aktar?m talimatlar?
INTO_THE_STATE,mevduat devlet
CURRENCY_TRANSFER,Para transferi
FUNDS_OUT,Fonlar d??ar?
PURCHASE_CONFIRMATION,Sat?n alma onay?
PROPERTY_STATISTICS,MÅlkiyet istatistikleri
ADDRESS,Adres
DETAILS,ayr?nt?lar
ICO_MANAGEMENT,ICO Yînetimi
TOTAL_PRICE_OF_ICO,ICO toplam fiyat?
DECOMMISSIONING,hizmet d??? b?rak?lmas?n?
LIST_OF_TABLES,Tablo listesi
INDUSTRY_NEWS,EndÅstri Haberleri
EDIT_ARTICLE,DÅzenleme Madde
EDIT_AD,Reklam? dÅzenle
EDIT_ADDRESS,Adresi dÅzelt
SYSTEM_MESSAGE,sistem mesaj?
TYPE_ID,TÅr Kimli?i
LIST_MANAGEMENT,Liste Yînetimi
GRADE_REQUIREMENTS,S?n?f gereksinimleri
THE_TOTAL_STATION,toplam istasyon
SITE_ADDRESS,Site adresi
STATIONS_IN_BALANCE,dengede ?stasyonlar?
BUY_NOW,?imdi al
MONEY_NOW,Para ?imdi
PROHIBITED_WITHDRAW,Yasaklanan sîndÅrmeye
PROHIBIT_GIFT,hediye yasakla
PROHIBITED_TRANSACTION,Yasaklanan i?lem
CONFIRMATION_NUMBER,Onay numaras?
CONFIRM_DELETE,silme onayla
REQUESTS_FOR_CHANGES,de?i?iklikler iáin talep
USERS_WALLET,Kullan?c?lar cÅzdan
USER_MANAGEMENT,Kullan?c? yînetimi
USERS_HOLD_OUT,Kullan?c?lar uzatmak
MONEY_AMOUNT,Para Miktar?
FINANCIAL_MODEL,Finansal model
CLICK_TO_DOWNLOAD,?ndirmek ?áin T?klay?n
CLICK_TO_CHANGE,de?i?im iáin t?klay?n
EMPTY_ADDRESS,Bo? adresi
ADDING_WALLET,cÅzdan ekleme
ADD_ARTICLE,Ekleme Madde
ADD_AD,Ekleme reklam
ADD_ADDRESS,Adres Ekle
FLOATING_NAVIGATION,YÅzer navigasyon
REGISTRATION_TIME,Kay?t sÅresi
NO_DATA,Veri yok
EACH_BONUS,Her bonus
THIS_BID_IS,Bu teklifidir
NORMAL_ROLLOUT,Normal Äekilme
FORMAT_EXAMPLES,Biáim ôrnekler
SECTION_NAME,BîlÅm ad?
MINIMUM_AMOUNT,minimum miktar
THE_MINIMUM_RECHARGE,asgari ?arj?
THE_MINIMUM_PRICE,Minimum fiyat
GREATEST_AMOUNT,Greatest tutar
THE_MAXIMUM_RECHARGE,Maksimum ?arj
THE_MAXIMUM_PRICE,tavan fiyat
LAST_LOGIN,Son giri?
ARE_WINNING,Kazanma Are
SINA_WEIBO,Sina Weibo
ARTICLE_MANAGER,Madde Yîneticisi
ARTICLE_CONTENT,Madde ?áeri?i
DATA_SIZE,Veri boyutu
DATASHEETS,Veri sayfalar?
THE_NUMBER_OF_OPERATIONS,i?lem say?s?
TIPS_CONTENT,?puálar? iáeri?i
WITHDRAW_CONFIGURATION,Yap?land?rma geri áek
WITHDRAW_SUCCESS,ba?ar?y? geri áek
SUBMIT_CHAT,Sohbet Gînder
PROMOTION_MANAGEMENT,Promosyon Yînetimi
KEY_INTERFACE,Anahtar Arabirim
INTERFACE_NAME,ArayÅz ad?
RANK_AUTHORIZATION,S?ra yetkilendirme
HOLD_PERCENTAGE,Tut yÅzdesi
NUMBER_HOSTING,numara bar?nd?rma
HOSTING_PRICES,Bar?nd?rma fiyatlar?
FEE,Åcret:
ALL_ACCOUNTS,BÅtÅn hesaplar
MY_ASSETS,Benim varl?klar
I_HOLD_OUT,Holdings
I_PRIZE,bonuslar?m
MICROCHANNEL_GROUP_NUMBER,Grup wechat
CURRENT_RATES,GÅncel fiyatlar
OPENING_PROVINCES,Aá?l?? iller
CITIES_ACCOUNT,?ehirler hesab?
OPENING_ADDRESS,Aá?k adres
OPEN_GIFT,Aá?k hediye
ADVERTISING_LINKS,Reklam Linkler
ADVERTISING_MANAGEMENT,Reklam yînetimi
COMMERCIAL_TIME,ticari zaman
AD_NAME,Reklam Ad?
AD_CONTENT,Reklam iáeri?i
MARKET_NAME,Pazar Ad?
CURRENCY_TYPE,Dîviz tipi
CURRENCY_MANAGEMENT,Para Yînetimi
THE_AMOUNT_SUBSCRIBED,Tutar abone
NAVIGATION_MANAGEMENT,Navigasyon Yînetimi
OFFICIAL_ACCOUNTS,Resmi hesaplar
OFFICIAL_FORUMS,Resmi Forumlar?
THE_OFFICIAL_MINING,Resmi madencilik
SAFETY_CERTIFICATE,gÅvenlik sertifikas?
HOW_TO_INVITE,nas?l davet edilir
IMAGE_LINK,resim ba?lant?s?
IMAGE_TITLE,GîrÅntÅ Ba?l???
PICTURE_NAME,Resim Ad?
SYNTHESIS_OF_NAME,ad? sentezi
PARTNER,Ortak
AVAILABLE_BALANCE,Kalan bakiye
OF_THE_TOTAL_ISSUED,á?kar?lan toplam de?erlere
PARAMETER_ERROR,Parametre hatas?
FOR_UPGRADE,yÅkseltme iáin
BLOCK_AWARD,Blok îdÅlÅ
LOADING_PROGRESS,YÅkleme ilerleme
THE_REMAINING_FREEZE,Kalan dondurma
THE_NUMBER_OF_ARRIVAL,geli? say?s?
CREATED,dÅzenlendi
THE_NUMBER_OF_DIVIDEND,temettÅ say?s?
THE_TOTAL_DIVIDEND,Toplam temettÅ
OTHER_CONFIGURATIONS,Di?er dÅzenlemeler
ALL_CURRENCIES,TÅm para birimleri
SELECT_NODE,seá dÅ?Åm
THE_TOTAL_SITEWIDE,Toplam site áap?nda
PREPAID_ORDERS,ôn îdemeli sipari?ler
DEPOSIT_METHODS,Para yat?rma yîntemleri
PREPAID_CELL_PHONE,Pe?in îdenen cep telefonu
MEMBER_GROUP_NUMBER,öye grup numaras?
PRICE_TRENDS,Fiyat trendleri
USD,Amerikan Dolar?
TRANSACTION_RATE,??lem Oran?
TRADING_PLATFORM,Ticaret platformu
FRONTEND_TITLE,ôn Uá Ba?l???
INADEQUATE,yetersiz
PREVIOUS_MENU,ônceki menÅ
THE_DEFAULT_RATING,varsay?lan de?erlendirmesi
ORDER_BOOK,Her?ey
DEFAULT_MARKET,Standart Pazar
DEFAULT_CURRENCY,Varsay?lan Para Birimi
ADVANCED_SEARCH,geli?mi? Arama
PROJECT_PICTURES,Proje Resimleri
TOP_MENU,öst MenÅ
TOP_CLASSIFICATION,aile kategorisi
PAGE_SETTINGS,Ayarlar
NEED_TO_REVIEW,incelemeye ?htiyac?
RECORD_MART,Tutanak Mart
MARKET_TRADING,Pazar Ticaret
QUEUE_INFORMATION,kuyruk Bilgisi
CONFIGURING_CURRENCY,yap?land?rma para
CONFIGURATION,Yap?land?rma
CONFIGURATION_LIST,Yap?land?rma listesi
THE_NUMBER_OF_INVITED,davet say?s?
ENCOUNTER_PROBLEMS,Encounter problemleri
OPTIONS,seáenekleri
SELECT_IMAGE,Foto?raf seá
ADAPT_TO_CHINESE,Äince Uyum
DELIVERY_ADDRESS,teslimat adresi
EXIT_BACKGROUND,Ä?k arka plan
CONNECT_TITLE,Ba?lan ba?l?k
CONNECTION_NAME,Ba?lant? ad?
BACK_TO,Geri
WAY_TO_RETURN,dînÅ? Way
BACK_TO_LIST,Listeye geri dîn
CURRENCY_TRANSFER_GUIDE,Para transferi k?lavuzu
TRANSFER_PROCESS,aktar?m i?lemi
ROLLOUT_COSTS,Åcretleri geri áek
OUT_OF_TIME,withdrawl Zaman
THE_SUCCESSFUL_ROLLOUT,Ba?ar?l? Äekilme
TRANSFER_OR_GIFT,Transferi veya hediye
PRICE_LIMIT,Fiyat s?n?r?
BUY_TIME,Sat?n Zaman
BUY_GOODS,Sat?n mallar
FINANCIAL_CONFIGURATION,Mali Yap?land?rma
FINANCIAL_DETAILS,Finansal ayr?nt?lar
PROPERTY_MANAGEMENT,MÅlkiyet yînetimi
PROPERTY_LIST,MÅlkiyet listesi
ERROR_IS_GREATER_THAN,Hata daha bÅyÅktÅr
DETAILED_RECORD,ayr?nt?l? kay?t
SPECIFICATION,?artname
HE_COMMENTED,O yorumlad?
SETTING_SUCCESS,Ba?ar? Ayar
SETTING_AWARDS,îdÅl ayarlanmas?
RECORD_LIST,Tutanak listesi
REMEMBER_ME,Beni hat?rla
ICO_INSTRUCTIONS,ICO talimatlar?
THE_TOTAL_ICO,Toplam ICO
ICO_PERIOD,ICO dînemi
INTRODUCTION_TO_SUBSCRIBE,ICO Hakk?nda
ORDER_DETAILS,Sipari? detaylar?
THAWED,ÄîzÅlmÅ?
TABLE_ELEMENT,Tablo eleman?
FORM_ELEMENTS,Form elemanlar?
MARKET_TREND,Piyasa e?ilimi
MENU_MANAGER,MenÅ Yîneticisi
SORT_MENU,S?ralama menÅsÅ
SYMBOL_AB,sembol
AUTOMATIC_LANDING,Otomatik ini?
CONTACT_US,Bize Ula??n
CHAT_MODE,Sohbet modu
CHAT_LIST,Sohbet listesi
ONLINE_BANKING_ACCOUNT,Äevrimiái bankac?l?k hesab?
ONLINE_BANKING_HEADED,?nternet bankac?l??? ba?l?
ONLINE_BANKING_INFORMATION,Äevrimiái banka bilgileri
SITE_STATUS,Site Durumu
WEBSITE_TITLE,Web Sitesi Ba?l???
WEBSITE_BOTTOM,Web sitesi alt
SITE_NAME,Site ad?
EDIT_LINK,Ba?lant? DÅzenle
EDIT_WALLET,DÅzenleme cÅzdan
EDIT_PROPERTY,DÅzenleme îzelli?i
EDIT_ICO,DÅzenleme ICO
EDIT_USER,kullan?c?y? dÅzenle
MONEY_EDITOR,Para editîr
EDIT_SECTION,BîlÅmÅ dÅzenle
EDIT_PERMISSIONS,?zinleri DÅzenleme
EDIT_LOG,DÅzenleme GÅnlÅ?Å
EDIT_TEXT,Metni dÅzenle
EDITING_MARKET,DÅzenleme Pazar
EDIT_CURRENCY,DÅzenleme para
EDIT_NAVIGATION,DÅzenleme navigasyon
WRONG_NUMBER,Yanl?? numara
STATISTICAL_CURRENCY,?statistiksel para
STATISTICAL_CODE,?statistiksel kodu
STRUCTURAL_ELEMENTS,Yap?sal unsurlar
TIME_LINE,Zaman áizelgesi
FIG_LINE_RATIO,?ekil hat oran?
TRADITIONAL_CHINESE,Äince
CUMULATIVE_PROFIT,Toplam kar
THE_CUMULATIVE_NUMBER_OF,say?s?
THE_CUMULATIVE_GAIN,Toplam kazaná
SYSTEM_SETTINGS,Sistem ayarlar?
OPERATORS_FORCE_CONTRACT,Operatîrler kuvvet sîzle?mesi
SIMPLIFIED_CHINESE,Basitle?tirilmi? Äince
LEVEL_CONFIGURATION,Seviye yap?land?rma
THE_HIGHER_THE_LEVEL,daha yÅksek seviyeli
LEVEL_MANAGEMENT,Seviye Yînetimi
LEVEL_NAME,Seviye Ad?
WAITING_FOR_CERTIFICATION,belgelendirme bekleniyor
IMMEDIATELY_WITHDRAW,?imdi geri áek
MINIMUM_ICO_REQUIRED,Asgari ICO sat?n alma gerekli
MAX_ICO_ALLOWED,Maksimum ICO Al?m izin isimli
IMMEDIATELY_TRANSFERRED,depoland??? gibi i?aretle
CERTIFIED_IMMEDIATELY,Komple KYC
APPLY_IMMEDIATELY,an?nda devreye girer
SYNTHESIS_IMMEDIATELY,Sentez hemen
NO_ACCESS,Eri?im yok
BAN_CHAT,Ban sohbet
CONFIRM_WITHDRAW,áekilme Onayla
CONFIRM_ICO,Onayla ICO
CONFIRMATION_OF_RECEIPT,Al?m belgesi
DEVELOPERS,Geli?tiriciler
SMS_CONFIGURATION,SMS Yap?land?rma
MULTIPLES,Birden áok
APPLICATION_TIME,uygulama sÅresi
USER_DETAILS,Kullan?c? detaylar?
USER_PASSWORD,Kullan?c? ?ifresi
USER_CENTER,Kullan?c? Merkezi
GENERATION_TIME,Nesil zaman?
NO_MONEY,Para yok
MONEY_MANAGEMENT,Para yînetimi
MONEY_PROPORTION,Para oran?
MONEY_TIME,Para Zaman?
THE_NUMBER_OF_FINANCIAL,Mali say?s?
MONEY_LIST,Para Liste
IPS,IPS
ALL_RIGHTS_RESERVED,tÅm haklar? Sakl?d?r
HOT_TOPIC,S?cak konu
THE_NUMBER_OF_CLICKS,t?klama say?s?
CLICK_LOG,Log t?klay?n
CLICK_THE_PLUS_GROUP,art? grubunu t?klay?n
CLICK_TO_CLOSE,sona t?klay?n
CLEAR_CACHE,berrak înbellek
CLEAR_THE_CACHE,înbelle?ini temizleyin
ADD_A_LINK,Ba?lant? ekleme
ADD_ICO,ICO ekle
ADD_USER,Kullan?c? Ekle
ADD_MONEY,Para ekle
ADD_PLATE,Ekleme plakas?
ADD_PERMISSIONS,Ekleme ?zinler
ADD_LOG,Log ekle
ADD_TEXT,Yaz? ekle
ADD_MARKETS,Ekleme piyasalar
ADD_CURRENCY,Ekleme para
ADD_NAVIGATION,Ekleme navigasyon
LIMIT_INCREASE,S?n?r art??
FLOATING_SETTINGS,YÅzer ayarlar?
TEST_ENVIRONMENT,test ortam?
REGISTRATION_GUIDE,Kay?t K?lavuzu
REGISTRATION_AGREEMENT,Kay?t Anla?ma
LEGAL_DESCRIPTION,Yasal Aá?klama
BIT_ERA,Bit dînemi
DAILY_INTEREST,GÅnlÅk ilgi
FORMAL_ENVIRONMENT,Biáimsel áevre
NORMAL_BALANCE,Normal denge
CONTINENTAL_CROWDFUNDING,k?ta verdikáe kitle fonlamas?
VIEW_DETAILS,Detaylar? gîster
SEE_DETAILS,Ayr?nt?lara bak?n?z
PLATE_PICTURES,Plaka Resimleri
PLATE_ICON,Plaka simgesi
SECTION_CONTENT,BîlÅm iáeri?i
PLATE_PRESENTATION,Plaka tan?t?m?
THIS_PAGE,Bu sayfa.
FUTURE_VERSIONS,Gelecek sÅrÅmler
LATEST_PRICE,son fiyat
RELEASE_NOTES,SÅrÅm notlar?
UPDATE_LOG,GÅncelleme GÅnlÅ?Å
DISPLAY_AMOUNT,Ekran miktar?
DISPLAY_MARKET,Ekran pazar?
SHOW_TITLE,Ba?l??? gîster
SHOW_NAME,isim gîster
WHETHER_TO_HIDE,gizlemek ister
WHETHER_CERTIFICATION,KYC
WHETHER,olup olmad???n?
WHETHER_TO_RECOMMEND,tavsiye etmek ister
LOGGING,Kerestecilik
UNABLE_TO_RIGHTING,do?rulma edilemiyor
ITS_ADVERTISING,Onun reklamc?l?k
BEGINNER'S_GUIDE,Yeni ba?layanlar?n rehberi
NEW_PASSWORD,Yeni ?ifre
THE_TOTAL_NUMBER_OF_ARTICLES,e?yalar?n say?s?
ARTICLE_CATEGORIES,makale kategorisi
FILE_PATH,dosya yolu
DATA_RESTORE,Veri Restore
DATA_TABLE,Veri tablosu
DATA_BACKUP,veri yedekleme
DIGITAL_ASSETS,Madeni para
INSTRUCTIONS,Talimatlar
CURRENCY_OPERATIONS,Dîviz i?lemleri
ACTION_REMARK,Eylem Aá?klama
ACTION_ADDRESS,Eylem Adresi
AFTER_THE_OPERATION,Ameliyattan sonra
BEFORE_OPERATION,??letim încesi
TIP_MARK,?pucu i?areti
BANK_WITHDRAWALS,Banka para áekme
WITHDRAW_TIPS,ipuálar? áekin
REMOVE_AHEAD,înÅmÅzdeki Kald?r
SUBMIT_COMMENTS,gîzden geáirmek
SUBMITTED_ADDRESS,Gînderilen adresi
RECOMMENDED_ITEMS,Personel seáim
PROMOTION_REBATE,Promosyon indirim
RECEIVING_ADDRESS,alma adresi
INTERFACE_LOGO,ArayÅz logosu
BUTTON_CONTROL,DÅ?me denetimi
DESIGNATED_PRIZE,belirlenmi? îdÅl
CAREERS,Kariyer
VOTING_TIPS,Oy ?puálar?
TECHNICAL_SPECIFICATIONS,Teknik îzellikler
BATCH_IMPORT,Seri ?thal
MOBILE_ACCESS,Mobil Eri?im
PHONE,Telefon
OWN_GROUPS,Kendi gruplar?
I_WANT_TO_SUBSCRIBE,Ben abone olmak istiyorum
I_WANT_TO_ENTRUST,Ben emanet etmek istiyorum
MY_DELEGATION,Benim Bekleyen Emirler
I_HAVE_MONEY,Ben îdedim
GROWING_SUCCESS,BÅyÅyen ba?ar?
TRANSACTION_RECORD,??lem kayd?
DEAL_PRICE,Anla?ma fiyat?
TOTAL_BALANCE,Toplam Bakiye
TOTAL_FEE,Toplam Åcret
MICROSOFT_ELEGANT_BLACK,Microsoft zarif siyah
CURRENT_VERSION,?imdiki versiyonu
PICTURES,Resimler!
CHECK_NOW,?imdi kontrol et
START_BACKUP,Ba?lang?á ??Yedekleme
OPEN_CHAT,Aá?k sohbet
OPEN_REWARD,Aá?k îdÅl
DEVELOPER,Geli?tirici
APPLICATION_MODULE,Uygulama ModÅlÅ
SHOULD_AID_CENTER,merkezini yard?mc? olmal?
AD_LIMIT,Reklam s?n?r?
AD_TITLE,Reklam Ba?l???
ADS_LIST,Reklamlar listesi
LUCKY_LIST,?ansl? listesi
PLATFORM_OVERVIEW,Platform Genel bak??
PLATFORM_INTRODUCTION,Platform tan?t?m?
MOST_USED_LINK,En áok kullan?lan ba?lant?
MARKET_STATISTICS,Pazar istatistikleri
THE_CURRENCY_ALLOCATION,para tahsisi
CURRENCY_COMMENTS,Para Yorumlar
CURRENCY_STATISTICS,Para istatistikleri
CURRENCY_INTRODUCTION,Para Giri?
TRANSACTION_VOLUME,??lem hacmi
HOUR_HOTLINE,Saat hatt?
DECIMAL_PLACES,Ondal?k
EXPORT_ALL,?hracat tÅm
CUSTOMER_SERVICE_CONFIGURATION,MÅ?teri Hizmetleri Yap?land?rma
CUSTOMER_SERVICE_HOTLINE,MÅ?teri Hizmetleri Hatt?
CUSTOMER_SERVICE_CODE,MÅ?teri Hizmetleri Kanunu
OFFICIAL_WEBSITE,Resmi internet sitesi
OFFICIAL_MICRO_LETTER,Resmi mikro mektup
MEDIA_REPORTS,Medya raporlar?
COMMISSIONED_FREEZE,Commissioned dondurma
ORDER_PRICE,Sipari? fiyat?
PRIZE_SETTINGS,îdÅl ayarlar?
PRIZES_NAME,ôdÅller Ad
DESCRIPTION_AWARDS,Aá?klama îdÅlleri
REWARD_TYPE,ôdÅl tipi
STATE_AWARD,Devlet îdÅlÅ
HEAD_END,Kafa sonu
HEADLINE_PROJECT,Ba?l?k projesi
BACKUP_STATUS,Yedekleme Durumu
BACKUP_TIME,Yedekleme sÅresi
BACKUP_NAME,Yedekleme ad?
PROCESSING_STATUS,??leme durumu
MA_SET,MA Seti
ADDRESS_REMARKS,Adres Aá?klamalar
ONLINE_PAYMENT,Online îdeme
ONLINE_CONSULTATION,Online KonsÅltasyon
SIZE_OF_THE_PICTURE,Resmin Boyutu
BUSINESS_CERTIFICATE,??letme Sertifikas?
COMMODITY_PRICE,Mal bedeli
LIMIT_CYCLE,S?n?r áevrimi
CYCLE_INTEREST,DîngÅ faiz
BACKGROUND_MENU,Arkaplan MenÅsÅ
BACKEND_SYSTEM,Arka uá sistemi
SYNTHETICS,Sentetikler
SYNTHETICALLY,sentetik olarak
SYNTHETIC_CURRENCY,Sentetik para
SYNTHESIS_CYCLE,Sentez dîngÅsÅ
LOOK_TO_SELL,Sat??
LOOK_TO_BUY,Sat?n alma
CANCEL_THE_ICO,ICO ?ptal
DECERTIFICATION,Sertifikan?n geri
ISSUE_PRICE,Say? fiyat
ABNORMAL,anormal
TWOFACTOR_AUTHENTICATION,?ki faktîrlÅ kimlik do?rulama
HISTORIC_VERSION,tarihi versiyon
SELLER_CURRENCY,Sat?c? para
MINIMUM_SINGLE,Asgari Tek
SINGLE_LARGEST,bÅyÅk Tekli
ESCALATION_RULES,Escalation kurallar?
EXCESS_INVENTORY,Fazla envanter
HOME_FRONT,Ev înÅ
THE_AMOUNT_OF_INTEREST,faiz miktar?
INTEREST_RECORD,?lgi kayd?
LIST_ELEMENTS,Liste elemanlar?
FREEZE_BALANCE,Freeze Dengesi
ABC,ABC
MAKE_PERSISTENT_EFFORTS,kal?c? áaba
COMPATIBLE_WITH_FIREFOX,Firefox ile uyumlu
FIG_OFF_LINE,?ekil áizgi d???
CLOSE_INDICATORS,Yak?n Gîstergeler
CLOSE_REWARD,Yak?n îdÅl
CLOSE_MA,Yak?n MA
RECHARGE_CONFIGURATION,?arj Yap?land?rma
RECHARGE_RECORD,?arj rekor
TOP_TIPS,En iyi ipuálar?
RECHARGE_GUIDE,?arj K?lavuzu
RECHARGE_REVIEW,?arj yorumu
MEMBERSHIP_LEVEL,öyelik Seviyesi
MEMBER_LOGIN,Oturum aá
MEMBER_LIST,Kullan?c?lar listesi
CODE_SECTION,Kod bîlÅm
PAYMENT_RATIO,ôdeme oran?
NUMBER_OF_PAYMENTS,ôdemeler say?s?
PAYMENT_SUCCESSFUL,ôdeme ba?ar?l?
PEOPLE_VOTE,oy
TRADING_CHAT,Ticaret Sohbet
TRADING_RECOMMENDATIONS,Ticaret îneriler
TRADING_GUIDE,Ticaret Rehberi
TWO_AT_HOME,Evde iki
BUYER_CURRENCY,Al?c? para
THEME_TEMPLATE,Tema
WINNING_MANAGEMENT,Kazanma Yînetimi
WINNING_PRIZES,îdÅl kazanan
STRICTLY_FOLLOW,kesinlikle izleyin
EXCLUSIVE_LINKS,ôzel Linkler
DO_NOT_OPERATE,áal??t?rmay?n
WITHOUT_REVIEW,inceleme olmadan
HERE_ARE_THE_TOP,??te Åst vard?r
THE_NEXT_INTEREST,sonraki faiz
UNDER_NO_EFFECT,Hiábir etkisi alt?nda
UNDER_THE_TYPE_OF_HOME,tip
ONLINE_CURRENCY,On-line para
